gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
Tuba8	2.7784599866616873	6.3869640581681	24.203567717666093	1.0479122021575949e-08	1.0397035565740272e-06	10.931480913304801
Rdh12	3.9996300537941507	5.099506812988969	24.086900141440683	1.0882651861569467e-08	1.0708169674698024e-06	10.893547661076477
Ptafr	4.082045242326945	4.63359960356003	24.044360023479452	1.1034115003002747e-08	1.07682109201435e-06	10.86542258228333
Aldh3b3	9.801090418493867	-0.03200981963963508	23.98647619617235	1.1244031853851794e-08	1.0883857174956053e-06	8.859920467011808
Pygl	3.361052882003955	8.876003446939276	23.83224000687013	1.1825647598291878e-08	1.126369282442105e-06	10.813213499947437
Dgat2	4.086885295732914	6.601002215296289	23.743301495941623	1.2176371771382714e-08	1.1482183820368356e-06	10.778694344469052
Mpzl1	3.6895819853423286	4.493546700711819	23.725511822299723	1.2247919915897709e-08	1.1482183820368356e-06	10.757765458353884
Sp140	2.803399088205631	6.6753053308826376	23.700520478138134	1.2349232523850381e-08	1.1486715814762706e-06	10.764143681229314
Vasp	3.1252362914818574	6.217464708199467	23.469637394184314	1.3331131465704535e-08	1.204643192204672e-06	10.688886952636992
Gas7	3.284377765150496	6.90960006692392	23.30506501822229	1.40846523278405e-08	1.2608411324456316e-06	10.629952760872634
Lipg	9.743076761446865	-0.029190730126535502	23.017875610720115	1.5517183719078967e-08	1.3485225500682788e-06	8.703618505313734
E2f2	4.3290140595776805	5.578422554157552	22.94590254857607	1.590140194149031e-08	1.3718992138795914e-06	10.516496230233466
Plscr1	3.410077629334044	6.131598369505105	22.8582523659782	1.638383636336457e-08	1.4033521995843065e-06	10.480166330538717
Usp46	2.915653879872404	5.941793133481058	22.716755982757157	1.7197783445910013e-08	1.4625486407643187e-06	10.433016218918329
Atp2c1	2.5670336158237816	7.091736767532971	22.67569385404501	1.744243266306408e-08	1.472834065861283e-06	10.41152766580237
Ltb4r1	3.49939503135606	7.654855217532974	22.629650335925984	1.772142766784459e-08	1.4754637609325711e-06	10.397284144901514
Ccno	5.76687838246608	2.1620561839447863	22.583278914133405	1.8007492227586475e-08	1.4888694615391984e-06	9.996101985382689
Flot2	2.6353619385436984	8.307921473362029	22.353941648696043	1.9500845073281003e-08	1.6012211133964388e-06	10.303956060313201
Tmem154	4.425412597928803	5.8862640025215835	22.12154037069356	2.1157759446139743e-08	1.7170730595055965e-06	10.222693519938565
Vcam1	3.668012434525666	6.799092976399255	21.97163320961045	2.2310366640066823e-08	1.7947785487610513e-06	10.158947832618367
Mrgpra2b	3.7278584140474003	6.142297818990507	21.922939122900093	2.2699831806778537e-08	1.8138536744396328e-06	10.146831336594108
Slc40a1	4.802734581547097	6.77414184661761	21.85548470333229	2.3252039383178896e-08	1.8333694099081322e-06	10.116457545795022
Ly75	5.679469855756325	5.730792366722427	21.827690696722208	2.3483953242879083e-08	1.8371818493559428e-06	10.118882235885135
C5ar2	6.596336701001843	1.9004403438591106	21.760888454302727	2.405206647682633e-08	1.8371818493559428e-06	9.68383722832893
Zyx	2.5496117308805424	8.218433447198512	21.748029490132122	2.416318900468021e-08	1.8371818493559428e-06	10.083798223527424
Lsp1	3.634343828244388	6.994682909085969	21.603492604389018	2.5452754140658255e-08	1.9059150364696679e-06	10.022826784850874
Prom1	3.694229290202161	6.722343926180425	21.52886630912299	2.6148744521048743e-08	1.9457934516725396e-06	9.995559767237344
Hexb	2.826627304083413	7.504721076115843	21.50824920575384	2.634478128063917e-08	1.9466727181022355e-06	9.98901859632466
Fpr1	7.652916186640459	1.1499073712365804	21.43426860204877	2.706194945101249e-08	1.9466727181022355e-06	9.26585625208109
Plekho2	2.530457350551429	6.458646939163671	21.43017893532067	2.7102230347854783e-08	1.9466727181022355e-06	9.960490199875615
Arhgap19	2.5474636721604123	8.246855480148463	21.428104803422727	2.7122685132395504e-08	1.9466727181022355e-06	9.965357722135206
Spc25	2.758040821458681	7.432370316510991	21.426190242705903	2.7141581656725272e-08	1.9466727181022355e-06	9.957831892698477
Dock5	3.2052823858038293	6.157546340431137	21.297293046341725	2.8448498588870217e-08	1.995818647114339e-06	9.914482473398063
Cd9	4.265875525371497	7.053805227711406	21.292607042902265	2.8497326558830644e-08	1.995818647114339e-06	9.906103937360443
Cep19	2.9079545189007328	5.439055443311739	21.20098222551656	2.947124501713047e-08	2.045122148282623e-06	9.893122105786821
4930438A08Rik	8.496112992879059	4.570231890572911	21.1918338101795	2.9570524868628917e-08	2.045122148282623e-06	9.900250135855977
S1pr4	2.9440274715376766	6.879915427553456	21.17060848738245	2.9802316544371236e-08	2.045122148282623e-06	9.859808321613027
Pnkp	2.627888473666439	8.014934402636484	21.162773269118503	2.988839692601851e-08	2.045122148282623e-06	9.863004598088473
Pglyrp1	5.154179465791028	5.354557383171083	21.126970778415323	3.028530902190009e-08	2.0604393669413853e-06	9.867219474654219
Agpat2	4.585117928183701	6.783885466544229	21.098076256103848	3.060996221693726e-08	2.070694375879858e-06	9.83237768411658
Reck	4.846832745869197	4.2244480166377505	20.919140313181014	3.270977142713486e-08	2.1531605669093846e-06	9.794962593644385
Mmp8	5.291788422012682	5.726861675955319	20.89374839551282	3.302066277172952e-08	2.1531605669093846e-06	9.769864102396284
Kbtbd7	2.919765425358772	6.107073308899481	20.850772288479966	3.355444926886119e-08	2.159455529703034e-06	9.744998748371136
Gbe1	2.411579060568031	7.179123447934538	20.72736408136463	3.5141966276699764e-08	2.1939074886152173e-06	9.689071525176002
Ehd1	3.2002464335825707	6.6165031205322045	20.62288844861529	3.655212819525482e-08	2.2331074214891835e-06	9.649264191841434
Acsl1	2.407006352641079	8.168764687354695	20.60374993423284	3.681728625249366e-08	2.233878458957204e-06	9.649121379138256
Mettl9	3.2877932432588315	6.929205350252061	20.56437349881689	3.736966376475482e-08	2.233878458957204e-06	9.624912698290805
Degs1	2.7683641349959496	7.8110302105316	20.465732011007542	3.879478635234628e-08	2.2979638124927105e-06	9.590849798992014
Sept1	3.1865740378561425	5.0742859013434325	20.374176465756943	4.017240442828639e-08	2.3579871863394552e-06	9.586323725291976
Kif21b	3.196586170183907	5.925822952356757	20.360542230637805	4.0382222871936505e-08	2.3579871863394552e-06	9.557338154409377
Tesk2	3.7976567478298278	5.841809152422159	20.287947845682396	4.1520336488001143e-08	2.3954293031372385e-06	9.530708139723574
Fcna	4.703338910173538	2.6915007258151995	20.210570335824343	4.27733091995753e-08	2.436646025503079e-06	9.391329958038739
Rab28	2.2790815663547628	6.577725154310702	20.154144946855258	4.3713813697928884e-08	2.4666192696092002e-06	9.463415482134787
Clec5a	3.20951389638798	7.965224151082815	20.11410686726707	4.439527406329747e-08	2.4850485413723317e-06	9.452430031109275
Arrb2	3.621009892308014	5.994137954374748	20.03620164467442	4.5755746927892785e-08	2.5104512577119422e-06	9.426082945217484
Tcp11l2	2.4692259454350607	6.273990008722502	20.01215787590377	4.618504473706054e-08	2.522381388254325e-06	9.410355902465257
Golim4	2.6212707340640264	7.328171746083065	19.995257317538154	4.648951144123423e-08	2.5274160877595194e-06	9.398373624332805
Mcemp1	5.05218932901174	6.273958382614997	19.955776704080993	4.720959317249878e-08	2.554897346871684e-06	9.387501083775067
Sec16b	3.8077631431669663	3.6352723988637736	19.912148280134204	4.8019946652689184e-08	2.5863842733841167e-06	9.396305299508493
Hlx	2.8835035543009027	5.333792387478122	19.881033245389133	4.860742944997374e-08	2.593472192917083e-06	9.383499972558633
9830107B12Rik	9.187590831323622	2.923964712479888	19.854016007232087	4.9124100509198134e-08	2.593472192917083e-06	9.302603951016344
Serpinb10	4.058107028030308	3.853737544769359	19.84843368652635	4.923162331295303e-08	2.593472192917083e-06	9.38384082853756
Ceacam10	9.392910564561756	-0.2670949465032164	19.84735779620937	4.9252376761068484e-08	2.593472192917083e-06	7.888529740505549
Fam160a2	2.605889662983076	6.5796335202030845	19.806154882410105	5.0054611454694366e-08	2.60582245410864e-06	9.322056804552359
